"year","race","births"
1980,"Asian/Pacific Islander","74355"
1981,"Asian/Pacific Islander","84553"
1982,"Asian/Pacific Islander","93193"
1983,"Asian/Pacific Islander","95713"
1984,"Asian/Pacific Islander","98926"
1985,"Asian/Pacific Islander","104606"
1986,"Asian/Pacific Islander","107797"
1987,"Asian/Pacific Islander","116560"
1988,"Asian/Pacific Islander","129035"
1989,"Asian/Pacific Islander","133075"
1990,"Asian/Pacific Islander","141635"
1991,"Asian/Pacific Islander","145372"
1992,"Asian/Pacific Islander","150250"
1993,"Asian/Pacific Islander","152800"
1994,"Asian/Pacific Islander","157632"
1995,"Asian/Pacific Islander","160287"
1996,"Asian/Pacific Islander","165776"
1997,"Asian/Pacific Islander","169769"
1998,"Asian/Pacific Islander","172652"
1999,"Asian/Pacific Islander","180776"
2000,"Asian/Pacific Islander","200543"
2001,"Asian/Pacific Islander","200279"
2002,"Asian/Pacific Islander","210907"
2003,"Asian/Pacific Islander","221203"
2004,"Asian/Pacific Islander","229123"
2005,"Asian/Pacific Islander","231108"
2006,"Asian/Pacific Islander","241045"
2007,"Asian/Pacific Islander","254488"
2008,"Asian/Pacific Islander","253185"
2009,"Asian/Pacific Islander","251089"
2010,"Asian/Pacific Islander","246886"
2011,"Asian/Pacific Islander","253915"
2012,"Asian/Pacific Islander","272802"
2013,"Asian/Pacific Islander","265673"
1960,"American Indian/Alaska Native","21114"
1961,"American Indian/Alaska Native","21464"
1962,"American Indian/Alaska Native","21968"
1963,"American Indian/Alaska Native","22358"
1964,"American Indian/Alaska Native","24382"
1965,"American Indian/Alaska Native","24066"
1966,"American Indian/Alaska Native","23014"
1967,"American Indian/Alaska Native","22665"
1968,"American Indian/Alaska Native","24156"
1969,"American Indian/Alaska Native","24008"
2013,"American Indian/Alaska Native","45991"
1970,"American Indian/Alaska Native","25864"
1971,"American Indian/Alaska Native","27148"
1972,"American Indian/Alaska Native","27368"
1973,"American Indian/Alaska Native","26464"
1974,"American Indian/Alaska Native","26631"
1975,"American Indian/Alaska Native","27546"
1976,"American Indian/Alaska Native","29009"
1977,"American Indian/Alaska Native","30500"
1978,"American Indian/Alaska Native","33160"
1979,"American Indian/Alaska Native","34269"
1980,"American Indian/Alaska Native","29389"
1981,"American Indian/Alaska Native","29688"
1982,"American Indian/Alaska Native","32436"
1983,"American Indian/Alaska Native","32881"
1984,"American Indian/Alaska Native","33256"
1985,"American Indian/Alaska Native","34037"
1986,"American Indian/Alaska Native","34169"
1987,"American Indian/Alaska Native","35322"
1988,"American Indian/Alaska Native","37088"
1989,"American Indian/Alaska Native","39478"
1990,"American Indian/Alaska Native","39051"
1991,"American Indian/Alaska Native","38841"
1992,"American Indian/Alaska Native","39453"
1993,"American Indian/Alaska Native","38732"
1994,"American Indian/Alaska Native","37740"
1995,"American Indian/Alaska Native","37278"
1996,"American Indian/Alaska Native","37880"
1997,"American Indian/Alaska Native","38572"
1998,"American Indian/Alaska Native","40272"
1999,"American Indian/Alaska Native","40170"
2000,"American Indian/Alaska Native","41668"
2001,"American Indian/Alaska Native","41872"
2002,"American Indian/Alaska Native","42368"
2003,"American Indian/Alaska Native","43052"
2004,"American Indian/Alaska Native","43927"
2005,"American Indian/Alaska Native","44813"
2006,"American Indian/Alaska Native","47721"
2007,"American Indian/Alaska Native","49443"
2008,"American Indian/Alaska Native","49537"
2009,"American Indian/Alaska Native","48665"
2010,"American Indian/Alaska Native","46760"
2011,"American Indian/Alaska Native","46419"
2012,"American Indian/Alaska Native","46093"
1960,"White","3600744"
1961,"White","3600864"
1962,"White","3394068"
1963,"White","3326344"
1964,"White","3369160"
1965,"White","3123860"
1966,"White","2993230"
1967,"White","2922502"
1968,"White","2912224"
1969,"White","2993614"
1970,"White","3091264"
1971,"White","2919746"
1972,"White","2655558"
1973,"White","2551030"
1974,"White","2575792"
1975,"White","2551996"
1976,"White","2567614"
1977,"White","2691070"
1978,"White","2681116"
1979,"White","2808420"
1980,"White","2936351"
1981,"White","2947679"
1982,"White","2984817"
1983,"White","2946468"
1984,"White","2967100"
1985,"White","3037913"
1986,"White","3019175"
1987,"White","3043828"
1988,"White","3102083"
1989,"White","3192355"
1990,"White","3290273"
1991,"White","3241273"
1992,"White","3201678"
1993,"White","3149833"
1994,"White","3121004"
1995,"White","3098885"
1996,"White","3093057"
1997,"White","3072640"
1998,"White","3118727"
1999,"White","3132501"
2000,"White","3194005"
2001,"White","3177626"
2002,"White","3174760"
2003,"White","3225848"
2004,"White","3222928"
2005,"White","3229294"
2006,"White","3310308"
2007,"White","3336626"
2008,"White","3274163"
2009,"White","3173293"
2010,"White","3069315"
2011,"White","3020355"
2012,"White","2999820"
2013,"White","2985757"
2013,"Black","634760"
1960,"Black","602264"
1961,"Black","611072"
1962,"Black","584610"
1963,"Black","580658"
1964,"Black","607556"
1965,"Black","581126"
1966,"Black","558244"
1967,"Black","543976"
1968,"Black","531152"
1969,"Black","543132"
1970,"Black","572362"
1971,"Black","564960"
1972,"Black","531329"
1973,"Black","512597"
1974,"Black","507162"
1975,"Black","511581"
1976,"Black","514479"
1977,"Black","544221"
1978,"Black","551540"
1979,"Black","577855"
1980,"Black","568080"
1981,"Black","564955"
1982,"Black","568506"
1983,"Black","562624"
1984,"Black","568138"
1985,"Black","581824"
1986,"Black","592910"
1987,"Black","611173"
1988,"Black","638562"
1989,"Black","673124"
1990,"Black","684336"
1991,"Black","682602"
1992,"Black","673633"
1993,"Black","658875"
1994,"Black","636391"
1995,"Black","603139"
1996,"Black","594781"
1997,"Black","599913"
1998,"Black","609902"
1999,"Black","605970"
2000,"Black","622598"
2001,"Black","606156"
2002,"Black","593691"
2003,"Black","599847"
2004,"Black","616074"
2005,"Black","633134"
2006,"Black","666481"
2007,"Black","675676"
2008,"Black","670809"
2009,"Black","657618"
2010,"Black","636425"
2011,"Black","632901"
2012,"Black","634126"
