year,numflights,totaldelay,avgdelay,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,,,,,
1988,208036,3859385,10,651530,0,0,0,0,,,,,
1989,264655,5152207,4,827030,0,0,0,0,,,,,
1990,468724,6415751,22,1388892,0,0,0,0,,,,,
1991,514014,6358234,3,1587707,0,0,0,0,,,,,
1992,587412,6974764,9,1800963,0,0,0,0,,,,,
1993,541722,6720425,1,1664747,0,0,0,0,,,,,
1994,494358,5780533,4,1499829,0,0,0,0,,,,,
1995,558024,8437458,2,1798778,0,0,0,0,,,,,
1996,504035,9811369,3,1710591,0,0,0,0,,,,,
1997,481009,8861151,39,1668873,0,0,0,0,,,,,
1998,410033,7552494,5,1443540,0,0,0,0,,,,,
1999,404855,8462211,40,1442406,0,0,0,0,,,,,
2000,423025,9484677,13,1542167,0,0,0,0,,,,,
2001,378671,7281185,6,1413293,0,0,0,0,,,,,
2002,108377,1826279,4,410785,0,0,0,0,Carrier,Weather,NAS,Security,Late aircraft
2003,264407,4334449,9,1019232,816871,93238,1072062,3848,3.85478448,3.089445438,0.352630604,4.054590083,0.014553321
2004,304032,6424507,6,1188250,1873049,215293,2468937,8486,3.908305705,6.1606969,0.708126118,8.120648484,0.027911536
2005,239964,6500631,2,987849,1871056,179922,2295981,5791,4.116654998,7.797236252,0.749787468,9.568022703,0.024132787
2006,194214,5093115,8,835233,1560855,145371,1522477,12549,4.300580803,8.036779017,0.748509376,7.839172253,0.064614291
2007,177138,4697797,31,804473,1530087,152501,1347892,6735,4.541504364,8.637824747,0.860916348,7.609276383,0.038021204
2008,133280,3768760,5,590377,1170855,138319,1133580,1246,4.42959934,8.784926471,1.037807623,8.505252101,0.009348739
