"year","numflights","totaldelay","avgdelay","numdelay15"
"1988",753983,3806765,4,72183
"1989",783320,5112434,0,98874
"1990",824062,6160471,1,107702
"1991",874791,6076045,0,106345
"1992",916593,6738874,9,120130
"1993",825842,6503001,1,115968
"1994",799040,5466765,4,94251
"1995",884019,7993449,-3,140550
"1996",888306,9130025,3,163419
"1997",921850,7942948,39,144544
"1998",915095,6339623,5,112781
"1999",914130,7194471,-1,125858
"2000",908029,8287197,-1,145065
"2001",835236,6018513,45,118175
"2002",243770,1338923,-12,30170
"2003",660617,2973962,9,69654
"2004",687638,5193312,6,105939
"2005",658302,5218108,2,104270
"2006",506086,4039668,-2,87513
"2007",475889,3686443,-4,77984
"2008",378059,2902460,-5,59642
